,count
65535,580068
10411,204568
10412,185991
10415,159524
10086,86175
10413,74116
10095,73481
10410,71586
7230,71531
10093,58834
7003,49499
10087,42218
10090,40894
10417,38978
10418,35812
7620,35043
10406,33946
7111,26853
8776,24761
8846,24649
10409,22735
7670,22212
10117,19516
8752,19240
10083,18213
10408,17230
8596,15718
7192,15628
10407,15273
10085,14765
7201,14570
8840,14351
7685,12916
7671,12862
10503,12807
10405,11746
7822,11182
8909,11012
10473,10808
10484,10679
7173,10282
10479,10106
10080,9418
8904,9239
8777,8957
7806,8703
8684,8224
10514,8182
8824,8109
8842,8049
10084,7841
7810,7692
7864,7578
8888,7396
10414,7078
10498,7038
7167,6630
10081,6605
8747,6585
7679,6420
10518,6404
7168,6381
7189,6311
10474,6121
10485,5976
10476,5919
10489,5903
7612,5859
10511,5672
10079,5476
10513,5030
7296,4999
9136,4948
10517,4775
7595,4730
8724,4606
7066,4242
10487,4238
10520,4038
7001,4033
7800,4014
7608,3901
8852,3726
8753,3655
10521,3587
8000,3535
7188,3514
10483,3442
10075,3333
10495,3249
10508,3221
7089,3125
10512,3107
10504,3039
7749,3008
10515,2991
7191,2986
7663,2930
7824,2885
10490,2831
10477,2761
10509,2716
8495,2678
7176,2637
10505,2632
10481,2625
7780,2619
7198,2591
8902,2574
7622,2564
10499,2527
7314,2478
8706,2448
10496,2424
10092,2401
7175,2370
7943,2360
10491,2305
7170,2300
10088,2293
7673,2203
10480,2195
10416,2127
7067,2099
8896,2081
10510,2066
8671,2038
10488,2032
7183,2000
7590,1992
8833,1801
10501,1770
9185,1718
7577,1690
9202,1658
8744,1648
10506,1602
7789,1598
10082,1598
7340,1588
7212,1577
10472,1567
8668,1564
10497,1551
7102,1535
8727,1501
10494,1464
8775,1461
7093,1424
7796,1424
8827,1420
7885,1409
10091,1380
8579,1363
10486,1353
7580,1329
10516,1310
7983,1262
8559,1262
7752,1242
7177,1186
10099,1140
10519,1126
7271,1113
10097,1082
10500,1076
7200,1039
7758,1030
7061,994
7987,980
10475,961
7217,937
7326,915
7785,888
7172,878
10507,794
7072,790
8587,711
7764,708
7643,679
8894,669
7813,666
32075,640
7662,636
10502,615
10478,570
9064,557
7257,547
10522,533
10482,493
7672,428
10098,418
10471,413
7269,406
7171,402
7186,400
7206,378
8892,307
8732,295
10096,289
7002,286
10492,257
8092,219
7117,133
32085,107
10493,74
10094,63
7609,43
7095,30
32087,17
32070,8
32077,4
32091,2
32060,1
